MODIND,ManagedElementType,SubNetwork,ManagedElement,NE_Name,ldn,moId,userLabel,mbsSwitch,masterOperatorId,cityLabel,cellLocalId,nrCarrierGroupId,duMeMoId,nrPhysicalCellDUId,operatorPriority,plmnIdList,pciReuseLayers,pciReuseDistance,pciSectionID,sonModifyPciSwitch,longitude,latitude,azimuth,altitude,testState,reserved61,reserved62,reserved63,reserved64,reserved65,reserved66,reserved67,reserved68,reserved69,reserved70,reserved71,reserved72,reserved73,reserved74,reserved75,reserved76,reserved77,reserved78,reserved79,reserved80,reserved98,reserved99,reserved100
,ITBBU,321363,13584411,SQ5GZTB沭阳_沭阳青伊湖支局BBU3,GNBCUCPFunction=460-11_13584411，NRCellCU=1029,1029,SQ5GZTB沭阳_沭阳青伊湖后乡_AA_1029,关闭[0],46011-13584411-1029,SQ,1029,6,13584411,6,0,460-11,4,3000,0,打开[1],118.88866,34.32587,240,44,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583022,SQ5GZTB沭阳_沭阳城市名园BBU1,GNBCUCPFunction=460-01_13583022，NRCellCU=3,3,SQ5GZTB沭阳_沭阳新城小区66栋_AA_3,关闭[0],46011-13583022-3,SQ,3,4,13583022,3,0,460-01,4,3000,0,打开[1],118.74563,34.10895,240,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584410,SQ5GZTB沭阳_沭阳一分局BBU19,GNBCUCPFunction=460-11_13584410，NRCellCU=1030,1030,SQ5GZTB沭阳_沭阳好又多（室分）_AA_1030,关闭[0],46011-13584410-1030,SQ,1030,7,13584410,7,0,460-11,4,3000,0,打开[1],118.7722,34.13097,0,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583964,SQ5GZTB沭阳_沭阳十字支局BBU2,GNBCUCPFunction=460-01_13583964，NRCellCU=1024,1024,SQ5GZTB沭阳_沭阳十字团庄_AA_1024,关闭[0],46011-13583964-1024,SQ,1024,1,13583964,1,0,460-01,4,3000,0,打开[1],118.81361,34.07722,0,44,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583063,SQ5GZTB沭阳_沭阳教育产业园BBU10QCell,GNBCUCPFunction=460-01_13583063，NRCellCU=1,1,SQ5GZTB沭阳_沭阳万达广场3F（室分）_YA_1,关闭[0],46011-13583063-1,SQ,1,1,13583063,1,0,460-01,4,3000,0,打开[1],118.7586,34.09807,0,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583955,SQ5GZTB沭阳_沭阳七雄支局BBU2,GNBCUCPFunction=460-01_13583955，NRCellCU=1029,1029,SQ5GZTB沭阳_沭阳七雄开发区搬迁_AA_1029,关闭[0],46011-13583955-1029,SQ,1029,5,13583955,6,0,460-01,4,3000,0,打开[1],118.86957,34.14972,260,34,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583022,SQ5GZTB沭阳_沭阳城市名园BBU1,GNBCUCPFunction=460-01_13583022，NRCellCU=2,2,SQ5GZTB沭阳_沭阳新城小区66栋_AA_2,关闭[0],46011-13583022-2,SQ,2,5,13583022,2,0,460-01,4,3000,0,打开[1],118.74563,34.10895,140,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583085,SQ5GZTB沭阳_沭阳教育产业园BBU11,GNBCUCPFunction=460-01_13583085，NRCellCU=4,4,SQ5GZTB沭阳_沭阳教育产业园综合楼1楼弱电间（室分）_AA_4,关闭[0],46011-13583085-4,SQ,4,4,13583085,4,0,460-01,4,3000,0,打开[1],118.7687,34.09065,0,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584064,SQ5GZTB沭阳_沭阳潼阳支局BBU2,GNBCUCPFunction=460-11_13584064，NRCellCU=1027,1027,SQ5GZTB沭阳_沭阳潼阳工业园_AA_1027,关闭[0],46011-13584064-1027,SQ,1027,4,13584064,4,0,460-11,4,3000,0,打开[1],118.63161,34.26601,0,34,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583939,SQ5GZTB沭阳_沭阳贤官支局BBU4,GNBCUCPFunction=460-01_13583939，NRCellCU=1030,1030,SQ5GZTB沭阳_沭阳贤官驻丘东_AA_1030,关闭[0],46011-13583939-1030,SQ,1030,7,13583939,7,0,460-01,4,3000,0,打开[1],118.751,34.2381,30,43,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584064,SQ5GZTB沭阳_沭阳潼阳支局BBU2,GNBCUCPFunction=460-01_13584064，NRCellCU=1026,1026,SQ5GZTB沭阳_沭阳潼阳初级中学_AA_1026,关闭[0],46011-13584064-1026,SQ,1026,3,13584064,3,0,460-01,4,3000,0,打开[1],118.60949,34.27641,170,49,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583898,SQ5GZTB沭阳_沭阳章顶接入网BBU6,GNBCUCPFunction=460-01_13583898，NRCellCU=2,2,SQ5GZTB沭阳_沭阳污水处理厂_AA_2,关闭[0],46011-13583898-2,SQ,2,2,13583898,2,0,460-01,4,3000,0,打开[1],118.8275,34.14371,120,44,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583935,SQ5GZTB沭阳_沭阳贤官支局BBU2,GNBCUCPFunction=460-11_13583935，NRCellCU=1031,1031,SQ5GZTB沭阳_沭阳贤官东开发区_AA_1031,关闭[0],46011-13583935-1031,SQ,1031,8,13583935,8,0,460-11,4,3000,0,打开[1],118.7766,34.24315,140,39,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583935,SQ5GZTB沭阳_沭阳贤官支局BBU2,GNBCUCPFunction=460-01_13583935，NRCellCU=1030,1030,SQ5GZTB沭阳_沭阳贤官东开发区_AA_1030,关闭[0],46011-13583935-1030,SQ,1030,7,13583935,7,0,460-01,4,3000,0,打开[1],118.7766,34.24315,20,39,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583935,SQ5GZTB沭阳_沭阳贤官支局BBU2,GNBCUCPFunction=460-11_13583935，NRCellCU=1035,1035,SQ5GZTB沭阳_沭阳贤官万刘_AA_1035,关闭[0],46011-13583935-1035,SQ,1035,12,13583935,12,0,460-11,4,3000,0,打开[1],118.7664,34.26664,220,38,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583939,SQ5GZTB沭阳_沭阳贤官支局BBU4,GNBCUCPFunction=460-11_13583939，NRCellCU=1031,1031,SQ5GZTB沭阳_沭阳贤官驻丘东_AA_1031,关闭[0],46011-13583939-1031,SQ,1031,8,13583939,8,0,460-11,4,3000,0,打开[1],118.751,34.2381,120,43,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584409,SQ5GZTB沭阳_沭阳扎下支局BBU7,GNBCUCPFunction=460-11_13584409，NRCellCU=1028,1028,SQ5GZTB沭阳_沭阳扎下冯徐联通_AA_1028,关闭[0],46011-13584409-1028,SQ,1028,5,13584409,5,0,460-11,4,3000,0,打开[1],118.78748,34.19081,140,58,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583939,SQ5GZTB沭阳_沭阳贤官支局BBU4,GNBCUCPFunction=460-01_13583939，NRCellCU=1032,1032,SQ5GZTB沭阳_沭阳贤官驻丘东_AA_1032,关闭[0],46011-13583939-1032,SQ,1032,9,13583939,9,0,460-01,4,3000,0,打开[1],118.751,34.2381,220,48,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
